stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
4-294,294,Guibaudet,47.310459,5.053788,0
4-295,295,Prison,47.311848,5.052098,1
4-296,296,De Musset,47.314327,5.048042,1
4-407,407,Ravel,47.301548,5.039918,1
4-409,409,Attiret,47.303928,5.040912,1
4-684,684,Stéarinerie,47.30479,5.034458,0
4-411,411,Blanchisseries,47.307743,5.037466,1
4-412,412,INSPE,47.310524,5.038704,1
4-413,413,Bordot,47.31237,5.039804,1
4-414,414,Dumont,47.314472,5.041551,1
4-829,829,Parc des Sports,47.3223,5.066078,1
4-391,391,Doumer,47.321918,5.061294,0
4-392,392,Strasbourg,47.321545,5.057674,1
4-393,393,SNCF Porte Neuve,47.321632,5.053946,1
4-1288,1288,Dupuis,47.3265,5.038705,1
4-212,212,Théâtre,47.321445,5.043466,0
4-78,78,Square Darcy,47.324181,5.033597,1
4-28,28,Spuller,47.326279,5.030102,1
4-29,29,Génois,47.32933,5.025027,1
4-30,30,Ziem,47.330894,5.022366,1
4-721,721,Petit Bernard,47.307114,5.034007,0
4-489,489,Place des Savoirs,47.331451,5.06738,1
4-488,488,Seguin,47.332695,5.068463,1
4-490,490,Ste-Bernadette,47.331158,5.065313,1
4-863,863,D'Alembert,47.331036,5.064009,1
4-1223,1223,De Brosses,47.324203,5.036815,1
4-244,244,Mairey,47.300713,5.017105,1
4-245,245,Gambetta,47.298183,5.013895,0
4-249,249,Foussets,47.288506,5.005857,0
4-250,250,Curie,47.286419,5.003861,1
4-251,251,Bicentenaire,47.285309,5.005949,1
4-253,253,Langevin,47.283604,5.009686,0
4-231,231,Drapeau,47.333122,5.043846,0
4-1349,1349,Richet,47.306396,5.015709,1
4-702,702,Pommard,47.308067,5.018519,1
4-663,663,Roussottes,47.312351,5.006968,0
4-502,502,Croix des Valendons,47.300259,5.007515,1
4-503,503,Renan,47.298046,5.005156,1
4-504,504,Collège Chapitre,47.296108,5.004014,1
4-380,380,Bouteiller,47.326283,5.068982,1
4-476,476,Champ Prieur,47.330688,5.092654,0
4-475,475,Bons Compagnons,47.331604,5.091245,1
4-373,373,Paquier d'Aupré,47.33189,5.08791,1
4-478,478,Jacquat,47.331413,5.084536,1
4-479,479,Gauthier,47.330891,5.081172,1
4-385,385,Longènes,47.330212,5.076835,1
4-386,386,Castelnau,47.329628,5.073297,0
4-145,145,SNCF Brifaut,47.324409,5.027626,0
4-146,146,Bagatelle,47.323341,5.021999,0
4-149,149,Marmuzots,47.328159,5.012617,1
4-150,150,Fontaine aux Fées,47.329491,5.010672,1
4-151,151,Libération,47.332695,5.010276,1
4-780,780,Cottages,47.333225,5.008806,0
4-153,153,Côte aux Moines,47.337788,5.009193,0
4-154,154,Arbalétriers,47.338135,5.00357,0
4-155,155,Logis de Bourgogne,47.339008,4.998397,0
4-558,558,D'Arbaumont,47.31345,5.055144,1
4-557,557,Petites Roches,47.313339,5.057548,1
4-274,274,Mazen - Sully,47.314941,5.076529,0
4-824,824,CREPS,47.311756,5.080746,1
4-1060,1060,Gendarmerie,47.317047,5.121797,1
4-1061,1061,Croix St-Martin,47.314793,5.120886,1
4-61,61,Quetignerot,47.309883,5.107542,1
4-13,13,Atria,47.308437,5.110034,1
4-201,201,QUETIGNY Centre La Parenthèse,47.313755,5.109754,0
4-1062,1062,Quetigny Mairie,47.312317,5.115622,1
4-1369,1369,IUT,47.309727,5.069155,0
4-1174,1174,Léchenet,47.331459,5.077376,0
4-203,203,Piscine Olympique,47.314442,5.082088,1
4-1370,1370,21ème Siècle,47.309341,5.071755,1
